time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763416.58064842,0.01251500,2207,0.00090515,0.00000000,0,0.00000000,14401,14468,254,0.00014701
1733763416.58064842,0.00942412,2207,0.00062583,0.00000000,0,0.00000000,14468,14495,111,0.00015152
1733763416.65264988,0.01177942,3146,0.00089571,0.00000000,0,0.00000000,14495,14823,620,0.00016036
1733763416.65264988,0.00923327,3146,0.00065645,0.00000000,0,0.00000000,14823,14831,270,0.00022388
1733763416.72465158,0.01252165,2209,0.00152087,0.00000000,0,0.00000000,14831,15012,456,0.00017981
1733763416.72465158,0.01275827,2209,0.00101607,0.00000000,0,0.00000000,15012,15149,215,0.00013463
1733763416.79365301,0.01040185,2382,0.00082843,0.00000000,0,0.00000000,14800,14946,252,0.00016241
1733763416.79365301,0.00559988,2382,0.00062837,0.00000000,0,0.00000000,14946,14981,137,0.00015103
1733763416.86565447,0.01431826,3035,0.00206108,0.00000000,0,0.00000000,14981,15272,522,0.00013698
1733763416.86565447,0.01272222,3035,0.00111768,0.00000000,0,0.00000000,15272,15353,264,0.00014836
1733763416.93765616,0.00938095,2312,0.00139514,0.00000000,0,0.00000000,15353,15542,427,0.00008983
1733763416.93765616,0.00486112,2312,0.00040072,0.00000000,0,0.00000000,15259,15342,197,0.00010236
1733763417.00965762,0.00612704,2803,0.00071549,0.00000000,0,0.00000000,15342,15469,291,0.00023270
1733763417.00965762,0.00570504,2803,0.00090723,0.00000000,0,0.00000000,15469,15573,153,0.00012435
1733763417.07865906,0.00442527,3347,0.00045943,0.00000000,0,0.00000000,14230,14695,476,0.00017474
1733763417.07865906,0.00606487,3347,0.00058123,0.00000000,0,0.00000000,14695,14843,253,0.00021155
1733763417.15066051,0.00651465,2617,0.00071753,0.00000000,0,0.00000000,14843,15133,385,0.00020764
1733763417.15066051,0.00495547,2617,0.00050691,0.00000000,0,0.00000000,15133,15231,207,0.00016204
1733763417.21966219,0.00573288,3295,0.00059902,0.00000000,0,0.00000000,15231,15418,296,0.00017776
1733763417.21966219,0.00517421,3295,0.00041934,0.00000000,0,0.00000000,15418,15497,155,0.00023539
1733763417.29166365,0.00673911,2909,0.00093966,0.00000000,0,0.00000000,15497,15691,427,0.00016666
1733763417.29166365,0.00545913,2909,0.00071461,0.00000000,0,0.00000000,15691,15665,221,0.00013928
